Country,Youtuber,Latitude,Longitude
Afghanistan,1,33.93911,67.709953
Andorra,1,,
Argentina,13,-38.416097,-63.616672
Australia,9,-25.274398,133.775136
Bangladesh,1,23.684994,90.356331
Barbados,1,13.193887,-59.543198
Brazil,62,-14.235004,-51.92528
Canada,15,56.130366,-106.346771
Chile,3,-35.675147,-71.542969
China,1,35.86166,104.195397
Colombia,11,4.570868,-74.297333
Cuba,1,21.521757,-77.781167
Ecuador,2,-1.831239,-78.183406
Egypt,2,26.820553,30.802498
El Salvador,1,13.794185,-88.89653
Finland,1,61.92411,25.748151
France,5,46.227638,2.213749
Germany,6,51.165691,10.451526
India,168,20.593684,78.96288
Indonesia,28,-0.789275,113.921327
Iraq,2,33.223191,43.679291
Italy,2,41.87194,12.56738
Japan,5,36.204824,138.252924
Jordan,3,30.585164,36.238414
Kuwait,1,29.31166,47.481766
Latvia,1,56.879635,24.603189
Malaysia,1,4.210484,101.975766
Mexico,33,23.634501,-102.552784
Morocco,1,31.791702,-7.09262
Netherlands,3,52.132633,5.291266
Pakistan,6,30.375321,69.345116
Peru,1,-9.189967,-75.015152
Philippines,12,12.879721,121.774017
Russia,16,61.52401,105.318756
Samoa,1,-13.759029,-172.104629
Saudi Arabia,9,23.885942,45.079162
Singapore,3,1.352083,103.819836
South Korea,17,35.907757,127.766922
Spain,22,40.463667,-3.74922
Sweden,4,60.128161,18.643501
Switzerland,1,46.818188,8.227512
Thailand,18,15.870032,100.992541
Turkey,4,38.963745,35.243322
Ukraine,8,48.379433,31.16558
United Arab Emirates,7,23.424076,53.847818
United Kingdom,43,55.378051,-3.435973
United States,313,37.09024,-95.712891
Venezuela,1,6.42375,-66.58973
Vietnam,3,14.058324,108.277199
